pre_purification_id	pre_purification	user_id
1	None	2
2	Ion-exchange chromatography	2
3	Size-exclusion chromatography	2
4	Metal affinity chromatography	2
5	Reverse phase chromatography	2
6	Ion-exchange + size exclusion chromatography	2
7	Ammonium Sulfate precipitation/gel filtration	2
8	HPLC	2
9	Ion-exchange/size exclusion/HIC	2
10	Metal affinity chromatography/ion exchange chromatography	2
11	Acid precipitation	71
12	Washing inclusion body	136
13	Purification of the inclusion bodies onto a sucrose step gradient followed by several washing steps	164
14	IMAC	163
15	gel filtration	119
16	Affinity chromotography	71
17	Immunoaffinity Chromatography	254
18	Hydroxyapatite Chromatography/Ion-Exchange Chromatography	254
19	Detergent wash followed by anion exchange chromatography in urea	2
20	His Trap and ion exchange	996
21	RP-HPLC	1037
30	Ni-NTA agrose chromatography	1037
31	not specified	1037
32	Ni-NTA column	1037
33	DEAE-Cellulofine column chromatography	1037
34	SDS-PAGE	1037
35	Heating in boiling water for 5minut	1315
36	Heating in boiling water for 5minut	1315
37	DEAE-Sepharose Fast Flow column	1037
38	DEAE-Sepharose Fast Flow column	1037
39	crystallization	1429
